0,5
1,O
2,1
3,)
4,N
5,S
6,[Li+]
7,[C@@]
8,/
9,C
10,Cl
11,[Co+3]
12,[Se]
13,[S-]
14,[As]
15,[NH-]
16,4
17,9
18,[NH+]
19,[Cl-]
20,[I-]
21,[Si]
22,[NH3+]
23,I
24,[2H]
25,[Na]
26,[Ba+2]
27,3
28,\
29,[OH-]
30,7
31,[K+]
32,[C-]
33,[H-]
34,B
35,[H+]
36,[Nd+3]
37,[S+]
38,6
39,2
40,[15N]
41,[Pt]
42,[Mg+2]
43,[N+]
44,[N-]
45,[P+]
46,.
47,(
48,[Br-]
49,[NH4+]
50,[Fe]
51,[Hg]
52,[O-]
53,[NH2+]
54,[B-]
55,[CH-]
56,8
57,[N@@+]
58,[Zn+2]
59,[C@]
60,[N@+]
61,[Pt+2]
62,[C@H]
63,#
64,P
65,F
66,[Ca+2]
67,Br
68,=
69,[Na+]
70,[C@@H]
