PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
CC1=CC=C(C=C1)S(=O)(=O)/N=C\2/C=C(C(=O)C3=CC=CC=C32)SC4=NC=NN4,Active
C1=CC=C2C(=C1)N=CN2C(=O)/C=C/C3=CC(=CC=C3)[N+](=O)[O-],Active
CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N(C)C)[N+](=O)[O-],Active
COC1=C(C=C(C=C1)CCN2C(=O)C3=CC=CC=C3N=C2SCCN4CCCCC4)OC,Active
C1CN(CCN1CC2=CC=C(C=C2)Br)CC3=CC(=CC=C3)[N+](=O)[O-].C(=O)(C(=O)O)O,Active
C1CS(=O)(=O)CC1NC(=O)C2C3CC(C2C(=O)O)C=C3,Active
C1CCN(CC1)CCOC(=O)C2=CC(=CC=C2)Cl.Cl,Active
C1CC2CC(CC(C1)N2CC3=CC=C(C=C3)F)NC(=O)NC4=CC=CC=C4C5=CC=CC=C5,Active
CC(C)(C)C1=NN(C2=C1C=C(C(=O)N2)C=O)C3=CC=CC=C3,Active
COC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCC4=CC=CC=C4C3)OC,Active
CCN(CC)CCCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)OC(C)C.Cl,Active
CCCNC(=S)NC1CC2CCCC(C1)N2CC3=CC=C(C=C3)F,Active
C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCCC(=O)C3=CC=C(C=C3)F,Active
COC1=CC=C(C=C1)CN2CCC(CC2)C3=NC4=C(N3)C=C(C=C4)Cl,Active
COC1=CC(=C(C=C1)CN2CCN(CC2)C3=CC=CC=C3OC)OC.C(=O)(C(=O)O)O,Active
CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CC4=CC=CO4)C(=O)NCCC5=CC=CC=C5,Active
CC1=C(C(=CC=C1)NC(=S)NC2CC3CCCC(C2)N3CC4=CC=CC=C4)C,Active
COC1=CC=CC=C1N2CCN(CC2)CC3=CC(=CC=C3)Br.C(=O)(C(=O)O)O,Active
CCN1C2=C(C=C(C=C2)CNCCCN3CCOCC3)C4=CC=CC=C41.Cl,Active
CC1=CC(=C2C(=N1)C(=CC(=O)C2=O)N3CCOCC3)C(=O)OC,Active
CC(=O)OC1=CC=C(C=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,Active
CCOC1=CC(=C(C(=C1O)C=NC2=CC=C(C=C2)NC(=O)C)Br)Br,Active
CC1=C(C=CC(=C1)NC(=O)C2=CC=C(C=C2)F)NC(=O)C3=CC=CO3,Active
C1CN(CCN1CC2=C3C=CC=NC3=C(C=C2)O)C4=CC=CC=C4,Active
COC1=CC=CC=C1N2CCN(CC2)CCC(=O)NC3=CC(=CC(=C3)OC)OC,Active
CC1=CC=C(C=C1)CN2C3CCCC2CC(C3)NC(=O)NC4=CC(=CC=C4)F,Active
C1CCN(C1)CCNC(=O)C2=CC=C(C=C2)Cl.Cl,Active
COC1=CC=CC=C1N2CCN(CC2)CCC(=O)NC3=CC=C(C=C3)F,Active
CC1=NN(C2=NC(=O)N(C(=O)C2=N1)C)C,Active
C1CC2CC(CC1N2CC3=CC=CS3)NC(=O)NC4=CC(=CC=C4)Cl,Active
CC1CC2=CC=CC=C2N1C(=O)CN3N=C(N=N3)C4=CC=CC=C4NC(=O)C5CCC5,Active
CC1=CC=C(O1)C(C2=CC=C(O2)C)C3=C(C(=CC(=C3)C)[N+](=O)[O-])O,Active
CC1=CC=CC=C1C(=O)NC2CC3CCCC(C2)N3CC4=CC=C(C=C4)Cl,Active
CSC1=CC=C(C=C1)CN2CCN(CC2)CC3=CC=CC=C3Cl,Active
CCN1C=CC(=N1)C(=O)NC2=CC=CC=C2Cl,Active
C1CN(CCN1CCN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O)C(=O)/C=C/C5=CC=CC=C5,Active
COC1=C(C=C(C=C1Br)Br)/C=N/NC(=O)C2=CN=CC=C2,Active
COC1=CC=CC=C1CN2CCN(CC2)CC3=CC=C(C=C3)Cl.C(=O)(C(=O)O)O,Active
COC1=CC=CC=C1C(=O)NC2CC3CCC(C2)N3CC4=CC=CC=C4,Active
CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)NC(=NC3=CC=CC=C3OC)S2,Active
C1=CC=C(C=C1)C(=O)NNC(=S)NC2=CC=CC=C2,Active
C1=CC=C2C(=C1)C=CC=C2N=NC3=CC(=C(C=C3)O)/C=N\NC(=O)C4=CC=C(C=C4)N,Active
COC1=CC(=CC(=C1OC)OC)C(=O)NC2CC3CCCC(C2)N3CC4=CC=CC=C4,Active
CC1=CC(=CC=C1)CN2CCN(CC2)C3=CC=C(C=C3)Cl,Active
CC1=CC(=NC(=N1)SCCCNCC2=CC=C(C=C2)Br)C.Cl,Active
CC1=CC=C(C=C1)CN2C3CCCC2CC(C3)NC(=S)NCC4=CC=CC=C4,Active
CCC1=C(C2=CC=CC=C2O1)C(=O)CCN3CCCCC3.Cl,Active
COC1=C(C=C(C=C1)C(=O)NC2CC3CCCC(C2)N3CC4=CC=CC=C4)OC,Active
CCC1=CC2=C(C=C1)NC(=O)C23NN=C(S3)C4=CC=C(C=C4)C,Active
C1=CC=NC(=C1)NC(=O)CCC(=O)N(CC(=O)NCC2=CC=C(C=C2)F)C3=CC=C(C=C3)F,Active
C1CN(CCN1CC(COC2=CC=CC=C2[N+](=O)[O-])O)CC(COC3=CC=CC=C3[N+](=O)[O-])O,Active
CC1=C(C2=NC3=CC=CC=C3N2C(=C1)NC4=CC(=CC=C4)[N+](=O)[O-])C#N,Active
CC1=CC=C(C=C1)C(=O)C2CCN(CC2)CC(=O)NCC3=CC=C(C=C3)F,Active
COC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Br)C(N2CC(=O)NN)C4=CC=CC=C4,Active
C1CCC2=C(C1)C3=C(S2)N=CN4C3=NNC4=S,Active
CCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NCCN3CCCCC3)O.Cl,Active
CCOC(=O)C1CCN(CC1)CC2=C3C=CC=NC3=C(C=C2)O,Active
CC1=CC=C(C=C1)CNCCCSC2=NC(=CC(=N2)C)C.Cl,Active
CCOCCCNC(=O)C1=CC=C(C=C1)CN2CCC3=CC=CC=C3C2,Active
C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3Cl)NN,Active
CC1=CC=CC=C1NC(=O)NC2CC3CCCC(C2)N3CC4=CC=C(C=C4)OC,Active
CC1=CC=C(C=C1)CN2CCN(CC2)/N=C/C3=CC(=C(C=C3)OC)Br,Active
C=CS(=O)(=O)C1=CC=C(C=C1)OC2=CC=C(C=C2)S(=O)(=O)C=C,Active
CC(C)(C)N1C(=NN=N1)C(C2=CC=CC=C2OC)N3CCN(CC3)CC4=CC=CC=C4.Cl,Active
CCN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=C(C=CC(=C3)Cl)Cl,Active
C1CCC2=C(C1)C3=C(C=C(C=C3)OC4=C(C=C(C=C4[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-])OC2=O,Active
CCC1=CC=CC=C1NC(=S)NC2CC3CCC(C2)N3CC4=CC=C(C=C4)F,Active
COC1=C(C=C(C=C1)Br)S(=O)(=O)NCCCN2CCOCC2,Active
CC1=CC=C(C=C1)C(C(=O)NCCOC)N(CC2=CC=CO2)C(=O)CCC(=O)NC3=CC=CC=N3,Active
CC1=CC=CC=C1N=NC2C(=NN(C2=O)C(=S)N)C,Active
COC1=CC(=C(C=C1)C(=O)NC2CC3CCCC(C2)N3CC4=CC=CC=C4)OC,Active
CC1=CC=C(C=C1)N(CC(=O)NC2=CC3=C(C=C2)OCCO3)S(=O)(=O)C,Active
C1CC2CC(CC1N2CC3=CC=CC=C3)NC(=O)C4=CC=CC=C4Cl,Active
C1CCCN(CC1)CC#CC(C2CCCC2)(C3=CC=CC=C3)O.Cl,Active
CC(=O)C1=CC(=CC=C1)NC(=O)C2=CC=C(C=C2)CN3CCC4=CC=CC=C4C3,Active
C1CC2CC(CC(C1)N2CC3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)[N+](=O)[O-],Active
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)C(C)(C)C,Active
COC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CC3=CC=CO3)C(=O)C4=CC=CC=C4,Active
COC1=CC=C(C=C1)CN2C3CCCC2CC(C3)NC(=O)C4=CC(=CC=C4)F,Active
C1=CC=C(C=C1)C(=O)CN2/C(=C(\C3=CC=CC=C3)/O)/C(=O)C4=CC=CC=C4S2(=O)=O,Active
CC1=CC=C(C=C1)CN2C3CCCC2CC(C3)NC(=O)C4=CC=C(C=C4)F,Active
CCN1CCCC1CN(CC2=CC3=C(C=C(C=C3)C)NC2=O)C(=S)NC4=CC(=CC=C4)OC,Active
C1CN(CCN1CC#CCN2C(=O)C3=CC=CC=C3C2=O)C(C4=CC=CC=C4)C5=CC=CC=C5.Cl,Active
CC1=CC=C(C=C1)N2CCN(CC2)CC(COC3=CC=C(C=C3)C)O,Active
COC1=CC=C(C=C1)CN2CCC(CC2)C(=O)C3=CC=C(C=C3)Cl,Active
C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CC3=CC=C(C=C3)F,Active
CCN(CC)CCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)OC)OC.Cl,Active
COC1=C(C=C(C(=C1)/C=C\2/C(=O)N/C(=N\S(=O)(=O)C3=CC=CC=C3)/S2)[N+](=O)[O-])OC,Active
C1CN(CCC1NC(=O)C23CC4CC(C2)CC(C4)C3)CC5=CC=CC=C5.Cl,Active
CC1=CC=C(C=C1)/C(=C/C(=O)C(=O)NNC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)/O,Active
CC(=O)OC1C2CCC(N2CC3=CC=CC=C3)CC1C4=CC=CC=C4OC,Active
CC(=O)C1=C(C(=O)C2=CC=CC=C2C1=O)C3=CC=C(C=C3)Br,Active
COC1=CC=C(C=C1)N2C=NC3=C2C=CC(=C3)NS(=O)(=O)C4=CC=CC=C4,Active
CCOC(=O)C1=C(N(C2=CC(=C(C=C21)O)Br)C)CN3CCCCC3,Active
CN1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)Cl)OC,Active
CC1=C(C(=O)N(N1)C2=CC=CC=C2)C=NC3=CC=CC4=C3N=CC=C4,Active
CC(C(=O)C1=CC=C(C=C1)Cl)[N+]2=CC=C(C=C2)NC(=O)C.[Cl-],Active
CC1=CC=C(C=C1)CNC(=O)CNCC2=CC=CC=C2OC.C(=O)(C(=O)O)O,Active
CC1=C(C2=NC3=C(CCC3)C(=O)N2N1)C4=CC=C(C=C4)Cl,Active
CC1=C(N=CC=C1)NC2=NC(=CS2)C3=CC=CC=N3,Active
CCOC1=CC=C(C=C1)CNCCC2=CC3=C(C=C2)OCO3,Active
COC1=CC=C(C=C1)CN2C3CCC2CC(C3)NC(=O)C4=CC(=CC=C4)F,Active
CCOC(=O)C1=C(C2=C(O1)C=CC(=C2Cl)CNC3CCCCC3)C.C(=O)(C(=O)O)O,Active
CCN1C2=CC=CC=C2C(=C(C1=O)C3=NC4=CC=CC=C4N3)O,Active
CCC1=CC2=C(N=CN=C2S1)NCCN3CCCCC3.Cl,Active
CC1CCCN(C1)CCC(=O)NC2=CC=C(C=C2)Br.Cl,Active
