PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
C1=CC=C(C=C1)NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl,Active
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=C(C(=CC=C4)F)C#N,Active
CC(=O)NC1=CC=C(C=C1)NC2=NC3=CC=CC=C3N=C2NS(=O)(=O)C4=CC(=C(C=C4)Cl)[N+](=O)[O-],Active
COC1=CC=CC=C1N2CCN(CC2)CCCOC3=CC=C(C=C3)F,Active
CCOC(=O)/C(=C\C1=CC=C(C=C1)OC(F)F)/C2=NN3C(=NN=C3SC2)C4=CC=C(C=C4)Cl,Active
C/C(=N\NC(=S)NCC=C)/C1=CC=CC=N1,Active
CCN(C1=CC=CC=C1)S(=O)(=O)C2=C(C=CC(=C2)C(=O)NCC(C3=CC=C(C=C3)OC)N(C)C)C,Active
C1CCC2=[N+](CC1)C3=C(N2CC(=O)C4=CC(=CC=C4)[N+](=O)[O-])C=C(C=C3)C(F)(F)F.[Br-],Active
CC1CCN(CC1)CCCOC2=C(C=C(C=C2)Cl)Br,Active
C1=CC=C2C=C(C=CC2=C1)N/N=C/C3=CC=C(O3)[N+](=O)[O-],Active
CCOC1=CC=CC=C1N2CCN(CC2)CC(COC3CCCC4=CC=CC=C34)O,Active
CC1=CC(=CC=C1)NC(=S)N/N=C\2/CCCCC3=CC=CC=C32,Active
C1CCC(CC1)(CNC(=O)CCC(=O)C2=CC=C(C=C2)F)N3CCCCC3,Active
CC1=C(CS(=O)N(C1)S(=O)(=O)C2=CC=C(C=C2)Cl)C,Active
CC1=CC(=C(N1CC=C)C)C(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,Active
C1CN(CCC1CC2=CC=CC=C2)CC(C3=CC=CC=C3)O,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC(=CC=C2)NS(=O)(=O)C3=CC=CC=C3)N4CCCC4,Active
C1=CC(=CC=C1C(=O)N/N=C/C2=C(C=C(C=C2)OC(F)F)OC(F)F)Br,Active
COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N/N=C/C3=CNC4=CC=CC=C43,Active
C1=CC=C(C=C1)C(=O)/C(=C/C2=CC(=CC=C2)Cl)/C3=NC4=CC=CC=C4N3,Active
CN(CCOC1=CC=CC=C1)CCOC2=CC=CC=C2,Active
COC1=CC=C(C=C1)N2CCN(CC2)CC3=C(C=C4CCCC4=C3)O,Active
CCCN1CCN(CC1)C(=O)C2=CC3=C(C=C2)NC(=C3C)C,Active
C1=CC(=CC=C1C2=NN=C(O2)CN3C(=O)C(=C(C=N3)Cl)Cl)Cl,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC(=CC=C2)Br)N3CCCC3,Active
CC1=CC=CC=C1OCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCCC3,Active
C1CN(CCN1CC2=CC3=C(C=C2Br)OCCO3)C4=CC=C(C=C4)O,Active
CCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)NC3=CC4=C(C=C3)N=C(S4)C,Active
COC1=CC=C(C=C1)C(CNC(=O)CC2=CC=CC=C2Cl)N3CCCCC3,Active
C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=CC4=CC=CC=C4C=C3,Active
C1CN(CCC1NC(=O)C2=CC(=CN=C2)Br)CC3=CC=CC=C3,Active
CC(C(=O)N1CCC2=CC=CC=C21)N3CCC4=CC=CC=C4C3,Active
CC1=CSC(=N)N1CC(=O)N2CCC3=CC=CC=C32,Active
C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)O,Active
C1=CC=C(C=C1)NC2=C/C(=N/S(=O)(=O)C3=CC=CS3)/C4=CC=CC=C4C2=O,Active
CN(CC1=CC=C(C=C1)Br)CC(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])Cl,Active
CC1=CC=CC=C1C(=O)NCC(C2=CC=C(C=C2)OC)N3CCCC3,Active
C1COCCN1CC2=CC(=C3C=CC=NC3=C2OC(=O)C4=CC=CC=C4F)Cl,Active
CCOC1=CC=CC=C1N2CCN(CC2)CC(COCC3=CC=CS3)O,Active
C1CN(CCN1CC(C2=CC=CC=C2)O)C3=CC=CC=C3Cl,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC3=CC=CC=C3O2)N4CCCC4,Active
COC1=CC=CC=C1NS(=O)(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N/N=C/C3=C(N=C(S3)N4CCOCC4)C5=CC=CC=C5,Active
C1CN(CCC1NC(=S)NC2=CC=CC=C2Cl)CC3=CC=CC=C3,Active
CC(=O)NC1=CC=C(C=C1)/C=N/NC(=O)CCN2CCN(CC2)C3=CC=CC=C3,Active
C1=CC=C2C(=C1)/C(=N\S(=O)(=O)C3=CC=CS3)/C=C(C2=O)NC4=CC=C(C=C4)C(=O)O,Active
C1CN(CC2=CC=CC=C21)CC(COC3=C(C=C(C=C3)F)Cl)O,Active
CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)C2=CN=C(C=C2)Cl,Active
COC1=CC(=CC(=C1O)OC)/C=N/N=C/2\C3=CC=CC=C3NC2=O,Active
COC1=C(C(=C2C(=C1)C(=O)N(C(=S)N2)CCCN3CCOCC3)OC)OC,Active
CCN1CCN(CC1)C2=C(N=C(O2)C3=CC=CC=C3C)S(=O)(=O)C4=CC=CC=C4,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC=C(O2)C3=NC4=CC=CC=C4S3)N5CCCC5,Active
C1COCCN1C(CNC(=O)C2=NN(C(=O)C3=CC=CC=C32)C4=CC=CC=C4)C5=CC=C(C=C5)F,Active
COC1=CC=C(C=C1)CCNC(=S)NC2CCN(CC2)CC3=CC=CC=C3,Active
CC1=CC=C(C=C1)OCCNCC(COC2=CC=CC=C2)O.C(=O)(C(=O)O)O,Active
CCN1C2=C(C=C(C=C2)S(=O)(=O)N3CCCCC3)N=C1CN4CCC(CC4)C,Active
CC1=C(C(=CC=C1)OCC(=O)NNC(=O)CCN2CCN(CC2)C3=CC=CC=C3)C,Active
CC(C(C(=O)OCC1=CC(=CC2=C1OCOC2)[N+](=O)[O-])NS(=O)(=O)C3=CC=C(C=C3)Cl)O,Active
C1CN(CCN1CCC(=O)NNC(=O)C2=CC=C(C=C2)NC(=O)CC#N)C3=CC=CC=C3,Active
CN(C)C(CNC(=O)C1=CC2=CC=CC=C2O1)C3=CC=CC=C3,Active
CC1=C(SC2=NC=NC(=C12)OCC(=O)NCC3=CC=CS3)C,Active
CC1=C(C=CC(=C1)Br)NC(=O)CNC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC(=C(C=C2)OC)S(=O)(=O)N3CCCC3)N4CCCC4,Active
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=NC3=C(CCCC3=O)O,Active
CCN(CC)C1=C(C2=C(C(=S)N(C(=C2C(=N1)N)N)C3=CC=CC=C3C)C#N)C#N,Active
C1CN(CCN1C/C=C/C2=CC=CC=C2)S(=O)(=O)C3=CC=C(S3)Cl,Active
CCN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=CC=CC=C4,Active
COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)N2C(=O)C3=C(C2=O)C(=CC=C3)N,Active
COC1=CC=C(C=C1)NC(=S)NC2=CC(=C(C=C2)N)[N+](=O)[O-],Active
CN(C)C1(CCCCC1)CNC(=O)NC2=CC=CC=C2OC,Active
C1CC(CN(C1)C2=NSC3=CC=CC=C32)C(F)(F)F,Active
C1CN(C2=CC=CC=C21)C(=O)CN3CCN(CC3)C4=NC=CC=N4,Active
CC1=CC(=C(N1CCOC)C)C(=O)COC(=O)C2=CC=C(O2)Br,Active
CN(C)CCCSC1=NC2=CC=CC=C2S1.Cl,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC(=CC=C2)NC(=O)C3=CC=CS3)N4CCCC4,Active
CC1=CC(=C(C=C1)C)S(=O)(=O)N/N=C/C2=CC=C(C=C2)C(=O)OC,Active
CCN(CC)C1=CC(=C(C=C1)/C=N/NC2=NC(=CC(=N2)C)C)O,Active
COC1=C(C=C(C=C1)Cl)C(=O)NCC(C2=CC=CO2)N3CCCC3,Active
CC1=C(C=C(C=C1)Cl)NC2=C/C(=N\S(=O)(=O)C3=CC=CS3)/C4=CC=CC=C4C2=O,Active
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)C4=CC=C(O4)Br,Active
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=[N+](C(=CS3)C4=C(C=C(C=C4)Cl)Cl)CC=C.[Cl-],Active
CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)OCC(=O)OC3CC(CCC3C(C)C)C,Active
CCN1C2=C(C=C(C=C2)S(=O)(=O)N3CCCCC3)N=C1CN4CCCCC4,Active
COC1=CC=C(C=C1)/C=C(/C(=O)C2=CC=CS2)\N3C=CC=CC3=C(C#N)C#N,Active
CC1=CC(=NC(=S)N1)N2CCN(CC2)C,Active
C1=CC=C(C(=C1)C2=NN=C(O2)CN3C(=O)C(=C(C=N3)Cl)Cl)Br,Active
COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=C(C=C3)S(=O)(=O)N4CCOCC4)O.Cl,Active
C1CN(CCN1CCO)C2=NC3=CC=CC=C3C(=C2)C4=CC=CC=C4.C(=O)(C(=O)O)O,Active
CC(C)(C)C1=C(C=CC(=C1)OC)OCC(CNCCOC2=CC=CC=C2OC)O.C(=O)(C(=O)O)O,Active
CN(C)C(CNC(=O)C1=CC(=C(C=C1)Cl)S(=O)(=O)N2CCCCCC2)C3=CC=CC=C3,Active
CN(C)C(CNC(=O)C1=CC2=C(CCC2)C=C1)C3=CC=C(C=C3)OC,Active
CN(C)C(CNC(=O)C1=CC(=CC=C1)S(=O)(=O)N2CCC3=CC=CC=C3C2)C4=CC=CC=C4,Active
COC1=CC=CC=C1N2CCN(CC2)CC3=CC4=C(C=C3O)OCO4,Active
CCOC1=CC=C(C=C1)OCC2=CC=C(C=C2)C(=O)N/N=C(\C)/C3=CC=CC=N3,Active
CN1C(CCCC1CC(=O)C2=CC=CC=C2)CC(C3=CC=CC=C3)O,Active
CCN1C(=NC2=C1C(=O)NC(=O)N2CC3=CC=CC=C3)CO,Active
COC1=CC=C(C=C1)CNC(=O)COC(=O)CC2=C(C=C(C=C2)Cl)Cl,Active
CN(C)/N=C/C1=C(C(=CC(=C1)Cl)[N+](=O)[O-])O,Active
CC(C)C1=CC=CC=C1NC(=S)NC2CCN(CC2)CC3=CC=CC=C3,Active
CC1=C(OC2=CC=CC=C12)C(=O)N3CCN(CC3)CC4=CC=CS4,Active
CCOC1=CC=C(C=C1)S(=O)(=O)N(C)C2=CC=C(C=C2)OCC(=O)NCC3CCCCC3,Active
C1CN(CCC1CC2=CC=CC=C2)CC(COC3=C(C=C(C=C3)F)Cl)O,Active
CN1C(=O)C2=C(N=C(C=C2C(=O)OC)C3=C(C=CC(=C3)OC)OC)N(C1=O)CC4=CC=CC=C4,Active
CN(C)C(CNC(=O)C1=C(C=CC(=C1)Cl)OC)C2=CC=CO2,Active
C1=CC=C(C(=C1)/C=N/NC(=S)NC2=CC=CC=C2F)Br,Active
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)NNC(=S)NC(=O)C2=CC=CC=C2,Active
C1CCC(=NCC1)NNC2=NC(=CS2)C3=CC=C(C=C3)Cl,Active
C1=CC=C(C=C1)C2=NN=C(O2)COC(=O)C3=CC=C(C=C3)S(=O)(=O)NCC4=CC=CO4,Active
C1CC(C2=CC=CC=C2C1)NCC(COC3=C(C=CC=C3Cl)Cl)O.C(=O)(C(=O)O)O,Active
C1C(OC2=CC=CC=C2O1)CNCC(COC3=CC=CC=C3F)O,Active
CCN(CC(C1=CC(=CC=C1)O)O)C(=O)C23CC4CC(C2)CC(C4)C3.Cl,Active
CC(CCC1=CC=CC=C1)NC(=O)COC(=O)C2=CC(=C(C=C2)S(=O)(=O)C)[N+](=O)[O-],Active
CC1=CC(=CC=C1)S(=O)(=O)NC2=C(C=C(C=C2)N3CCN(CC3)C)C.Cl,Active
COC1=CC=C(C=C1)CN2C(=C(C3=CC=CC=C3C2=O)C=NC4=CC=C(C=C4)O)O,Active
CC(C(=O)NCC1CCCCC1)N2CCC3=CC=CC=C3C2,Active
C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=CC4=CC=CC=C4O3.Cl,Active
C1CCCN(CC1)CC(=O)NC2=C(C=CC(=C2)C(F)(F)F)Cl,Active
C1=CC=C(C=C1)S(=O)(=O)/C(=C/C2=CC=C(C=C2)C(F)(F)F)/C3=NC4=CC=CC=C4N3,Active
CC(C(=O)NC1=CC=C(C=C1)N2CCOCC2)SC3=NN=C(N3C)COC4=CC=C(C=C4)OC,Active
CC1=CC(=O)OC2=C1C=CC(=C2)OCC(CN3CCN(CC3)C4=CC=CC=C4OC)O,Active
CC1=CC2=C(C=C1Cl)C(=CC(=O)O2)CN3C(=O)C(=C(C=N3)Cl)Cl,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCCC3)N4CCCC4,Active
C1COCCN1S(=O)(=O)C2=CC(=C(C=C2)F)C(=O)NC3=NC(=CS3)C4=CC=CC=N4,Active
CC1=CC(=C(C(=C1C)S(=O)(=O)N(C)C2CCN(CC2)C)C)C.Cl,Active
CC(=C)C1=CC(=CC=C1)C(C)(C)NC(=O)NC2CCN(CC2)CC3=CC=CC=C3.Cl,Active
CN1C=CC=C1C(=O)NC(=O)COC(=O)C2=CC(=C(C=C2)S(=O)(=O)C)[N+](=O)[O-],Active
CC(C12CC3CC(C1)CC(C3)C2)NC(=O)CN4C(=O)C(=C(C=N4)Cl)Cl,Active
CC1=CC=C(C=C1)S(=O)(=O)[O-].C1=CC2=C(C3=C(C=CC=N3)C=C2)[NH+]=C1,Active
CN1CCN(CC1)C(C2=CC=C(C=C2)Br)C3=CC(=C4C=CC=NC4=C3O)Cl,Active
C1CCN(CC1)C(C2=CC=CC=N2)C3=CC(=C4C=CC=NC4=C3O)Cl,Active
CCN(CC)CCNC1=C(N=C(O1)C2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3,Active
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)CN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,Active
COC1=CC=C(C=C1)C(CNC(=O)COC2=C(C=C(C=C2)Br)F)N3CCCC3,Active
CNC1=C(C(=C(S1)C(=O)C2=CC=C(C=C2)F)N)C3=NC4=CC=CC=C4S3,Active
CC1=CC=C(C=C1)NC(=O)C(C)N2CCC3=CC=CC=C3C2,Active
CCCCNC(=O)NC1=CC=NN1C2CCCCC2,Active
CC(C)OC1=C(C=C(C=C1Cl)C(=O)NCC(C2=CC=CS2)N(C)C)OC,Active
CC1CCCC(N1/N=C/C2=CNC3=C2C=C(C=C3)Br)C,Active
CCCCNC1=NC2=CC=CC=C2N1CC(=O)N3CCC4=CC=CC=C4C3,Active
CN(C)C(CNC(=O)CCOC1=CC=CC=C1)C2=CC=C(C=C2)OC,Active
CC1=CC=C(C=C1)S(=O)(=O)C2=C(OC(=N2)C3=CC=CC=C3)NCCCN4CCOCC4,Active
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)COC(=O)C3CC4CC3C=C4,Active
COC1=CC=CC=C1N2CCN(CC2)CC3=CC4=C(C=C3Br)OCCO4,Active
CC1=CC(=CC=C1)OCC(=O)NCC(C2=CC=C(C=C2)OC)N3CCCC3,Active
CC1=C(OC2=C1C=C(C=C2)Br)C(=O)NCC(C3=CC=C(C=C3)OC)N4CCCCC4,Active
CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)NCC(C3=CC=C(C=C3)OC)N(C)C,Active
C1COCCN1S(=O)(=O)C2=CC(=C(C=C2)OCC3=NC4=CC=CC=C4S3)Cl,Active
C1=CC=C(C(=C1)NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,Active
C1CCCC(CC1)NCC(COC2=CC=CC3=CC=CC=C32)O.C(=O)(C(=O)O)O,Active
COC1=CC=CC=C1N=C2N(C(=CS2)C3=CC4=C(C=C3)OCC(=O)N4)CC5CCCO5,Active
CC1=C(SC2=NC=NC(=C12)NC3CCN(CC3)CC4=CC=CC=C4)C,Active
CCC1=CC2=C(C=C1)C(=CC(=O)O2)CN3CCN(CC3)S(=O)(=O)C4=CC=CS4,Active
C1=CC(=C(C=C1F)F)NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl,Active
C1=CC=C(C=C1)C(=O)/C(=C/C2=CC=C(C=C2)Cl)/C3=NC4=CC=CC=C4N3,Active
CCC1=CC=C(C=C1)NC(=S)NCC2CCCN2CC,Active
CCOC(=O)C1CCN(CC1)CC(=O)N2CCC3=CC=CC=C32,Active
CCOC1=CC=CC=C1C(=O)N[C@@H](C(C)C)C(=O)NC2=NC3=C(S2)CCCC3,Active
CN(CCOC1=CC=CC=C1)CC(COC2=CC=CC=C2)O,Active
C1=CC=C(C=C1)/C(=N\NC(=O)C2=CC(=CC=C2)[N+](=O)[O-])/C3=CC=CC=N3,Active
CCN(CC)CCCSC1=NC2=CC=CC=C2S1.C(=O)(C(=O)O)O,Active
C1CCC2=[N+](CC1)C3=C(N2CC(=O)NC4=CC=CC(=C4)C#N)C=C(C=C3)C(F)(F)F.[Cl-],Active
CC1=NC2=CC=CC=C2C(=C1)C(=O)N/N=C(\C)/C3=CC=CC=N3,Active
COC1=CC=C(C=C1)C(CNC(=O)C2=CC3=CC=CC=C3O2)N4CCCCC4,Active
C1CN(CCC1NC2=C3C=CN=CC3=C(C=C2)[N+](=O)[O-])CC4=CC=CC=C4,Active
CC1=NC=C(C(=C1O)/C=N/NC2=NC=C(C=C2)C(F)(F)F)CO,Active
CC1=C(C=CC(=C1)N(CCO)CCO)N=NC2=C(C=CC(=C2)F)F,Active
COC1=CC(=CC(=C1O)OC)/C=C\2/C(=O)/C(=C/C3=CC(=C(C(=C3)OC)O)OC)/CC2,Active
CN(CC1=CC=C(C=C1)Cl)CC(=O)NC2=CC=CC(=C2)C#N,Active
C[N+]1=C(C=C(C=C1C2=CC=CC=C2)CCCCC3=CC(=[N+](C(=C3)C4=CC=CC=C4)C)C5=CC=CC=C5)C6=CC=CC=C6.[O-]Cl(=O)(=O)=O,Active
C1CN(CCN1CC2=CC3=C(C=C2Br)OCCO3)C4=CC=CC=C4,Active
CC1=CC(=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)[N+](=O)[O-])NNC(=S)NC3=CC(=CC=C3)Cl)C,Active
COC1=CC(=CC(=C1OC)OC)C(=O)NC(CCSC)C(=O)NC2=CC=C(C=C2)N3CCOCC3,Active
CN(C)CCCNC1=C(N=C(O1)C2=CC=C(C=C2)Cl)S(=O)(=O)C3=CC=CC=C3,Active
C1=CC=NC(=C1)C(=O)NC2=NC3=C(S2)C=C(C=C3)F,Active
C1=CC(=CC=C1C(=O)NNC2=C(C=C(C=C2)C(F)(F)F)[N+](=O)[O-])NS(=O)(=O)C3=CC=C(C=C3)F,Active
CC(C)C1=CC=C(C=C1)/C=C(\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4,Active
C1CN(CCN1CC(COC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)O)C4=CC=CC=C4Cl,Active
CC(C)N(C1=CC=CC=C1)C2=CC=C(C=C2)NC(=S)NCCN(C)C,Active
CC1=CC=CC=C1NC(=O)CC2=NC(=CS2)COC(=O)C3=CC(=C(C=C3)S(=O)(=O)C)[N+](=O)[O-],Active
C1CC2=C(C(=CC=C2)O)N(C1)S(=O)(=O)C3=CC=CS3,Active
CC1=CC(=C(C=C1C(C)C)CN2CCC(=CC2)C3=CC=CC=C3)O,Active
CC1=C(C=CC=C1Cl)NC(=S)NC2CCN(CC2)CC3=CC=CC=C3,Active
CN(C)CCCNC1=C(N=C(O1)C2=CC=CC=C2Cl)S(=O)(=O)C3=CC=CC=C3,Active
CC(C)CCN(C1=C(N(C(=O)NC1=O)CC2=CC=CC=C2)N)C(=O)CC3=CC(=C(C=C3)Cl)Cl,Active
CCN(C1=CC=CC2=CC=CC=C21)C(=O)COC3=CC=C(C=C3)C(=O)C,Active
COC1=CC(=CC(=C1)NC(=O)C[N+]2=CC=C(C=C2)C(=O)C3=CC=CC=C3)OC.[Cl-],Active
C1CCC(=NCC1)NCC2COC3=CC=CC=C3O2,Active
CC1=CC=C(C=C1)C2=CSC(=N2)C3C(=NC(=C(C34CCCCC4)C#N)S)N,Active
CCN\1C2=CC=CC=C2C(/C1=C\C=C\C3=[N+](C4=CC=CC=C4C3(C)C)CC)(C)C.[O-]Cl(=O)(=O)=O,Active
C1CN(CCN1CC(=O)NC2=CC=CC=C2C(=O)C3=CC=CC=C3)S(=O)(=O)C4=CC=C(C=C4)Br,Active
CC(C)OC1=C(C=C(C=C1Cl)C(=O)NC2CCN(CC2)CC3=CC=CC=C3)OC,Active
CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br,Active
CC(C)C1=CC=C(C=C1)C2=CSC3=NC=NC(=C23)N4CCN(CC4)C,Active
C1CC2=C(C1)C=C(C=C2)NC(=O)CN3CCN(CC3)C4=CC=CC=C4O,Active
CCOC(=O)C1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CC(=O)NC(=O)NC(C)(C)C,Active
C1C(OC2=CC=CC=C2O1)CNCC(COCC3=CC=CS3)O.C(=O)(C(=O)O)O,Active
CC1=C(C=C(C=C1)C(=O)NCC(C2=CC=C(C=C2)OC)N3CCCC3)S(=O)(=O)N4CCOCC4,Active
C1=CC=C(C=C1)/C=C(/C2=NC3=CC=CC=C3N2)\C(=O)C4=CC=C(C=C4)Cl,Active
C1CN(CCN1CC2=CC3=C(C=C2O)OCO3)C4=CC=CC=C4,Active
C1=CC=C(C=C1)CCC2C(=O)N(C(=O)N2)CC3=CC=C(C=C3)Br,Active
CC1(C(=O)N(C(=O)N1)CC(=O)NC2=CC3=C(C=C2)OCO3)C4=CC=CC=C4Cl,Active
CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCC2)NC(=O)CSC3=NN=C(N3C)C4CC4,Active
CC1=CC=C(C=C1)NC(=O)C2=C(S(=O)(=O)CCS2(=O)=O)C3=CC=CC=C3,Active
CC1=C(C(=C(C=C1)Cl)NC(=O)COC(=O)C2=CC=CC=C2C(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-])Cl,Active
CC1=C(SC2=NC=NC(=C12)NCC(C3=CC=C(C=C3)OC)N(C)C)C,Active
C1COCCN1CCCNC2=C(N=C(O2)C3=CC=CC=C3Cl)S(=O)(=O)C4=CC=CC=C4,Active
C1=CC=C(C(=C1)C(=O)O)N=NC2=CC=C(C=C2)O,Active
CCCSC1=NSC(=N1)NC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3,Active
C1=CC=C(C=C1)CCNC(=S)NC2=CC(=CC=C2)[N+](=O)[O-],Active
CC1=CC(=C(N1C2=CC=CC=C2F)C)/C=N/N3CCN(CC3)C,Active
C1/C(=C\C2=CC=CC=C2[N+](=O)[O-])/C(=O)C3=CC=CC=C3O1,Active
C1CN(CC=C1C2=CC=CC=C2)CC(=O)NC3=C(C=CC=C3Cl)Cl,Active
C=CCN1C(=O)C2=C(N=C1SCC(=O)NC3=CC=C(C=C3)C(=O)O)SC=C2C4=CC=CC=C4,Active
CC1=CC=C(O1)/C(=N/NS(=O)(=O)C2=CC(=C(C=C2)Cl)[N+](=O)[O-])/C,Active
CC(C)(C)C(=O)/C(=C\1/N(C(=O)/C(=C/C2=CN(N=C2C3=CN=CC=C3)C4=CC=CC=C4)/S1)C5=CC=C(C=C5)F)/C#N,Active
C1COCCN1C2=NC(=C(S2)/C=N/NC3=C(C=C(C=C3)[N+](=O)[O-])S(=O)(=O)NC4=CC=C(C=C4)Cl)C5=CC=CC=C5.Br,Active
CN1C(=NN=C1SCC(=O)NCCC2=CCCCC2)C(F)(F)F,Active
CC1=CC(=C(C=C1)OC)NC(=O)CN2CCN(CC2)C/C=C/C3=CC=CC=C3,Active
CN(C)C(CNC(=S)NC1=CC(=CC=C1)Cl)C2=CC=CC=C2,Active
CC1=NN=C(S1)SCC(=O)NC(=O)NC2=CC3=C(C=C2)OCCO3,Active
CC1=C(C=C(C=C1)SCC(=O)NNC(=O)C2=CC=CC=C2)C,Active
C1CN(CCN1C(=O)CSC2=NNC(=N2)C3=CC=CS3)S(=O)(=O)C4=CC5=CC=CC=C5C=C4,Active
C1CN(CCN1CCC(=O)N/N=C/C2=CC=CC=C2OC(F)F)C3=CC=CC=C3,Active
CCOC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC4=C(C=C3)C(=CC(=O)O4)C)O,Active
CC1=CC=C(S1)C(=S)N2CCN(CC2)CC3=CC=CC=C3,Active
CC1=C(C2=C(S1)N=C(N(C2=O)C3=CC=CC=C3)SCCN(C)C)C4=CC=C(C=C4)F,Active
CC(=O)C1=CC=C(C=C1)N2CCN(CC2)CC(COC(C3=CC=CC=C3)C4=CC=CC=C4)O,Active
CC(CN(C)CC1=CC=CC=C1)OC(=O)C2=CC=C(C=C2)F.Cl,Active
C1CN(CCN1CC(COCC2=CC=CS2)O)C3=CC=CC=C3Cl,Active
C1COCCN1C(CNC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=C(C=C4)F)C5=CC=CS5,Active
CC1=CC=C(C=C1)N(C)S(=O)(=O)C2=CC=CC(=C2)C(=O)NCC(C3=CC=CO3)N4CCCC4,Active
CC1=C(C(=NO1)C)C(=O)OCC2=C(SC(=C2C(=O)OC)N)C(=O)OC,Active
CC1=CC(=C(N1CCC2=CC=C(C=C2)Cl)C)C(=O)CCl,Active
CC1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SC4=NN=C(O4)CN5CCCCCC5=O,Active
CC1=CC(=C(C=C1)O)C(=O)C2=CN(C(=O)C(=C2)C(=O)NCC3=CC=CC=C3)CC4=CC=CC=C4,Active
C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)C(=O)NC3=NC(=CS3)C4=CC=CS4,Active
C1CN(C2=CC=CC=C21)C(=O)COC3=C(C4=CC=CC=C4C=C3)CN5CCOCC5,Active
CCOC(=O)CN1C(=O)C2(CCCC3=CC=CC=C32)NC1=O,Active
CC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)C(=O)NC3CCN(CC3)CC4=CC=CC=C4.Cl,Active
CC1=CC=C(C=C1)NC(=S)NNC2=C(C=C(C=N2)C(F)(F)F)Cl,Active
CCOC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=S)NC3CCCCC3,Active
CCOC1=C(C=C(C=C1)NC(=O)CN(C)CC2=CC3=C(C=C2)OCO3)S(=O)(=O)N4CCCC4,Active
CN(CC1=CC2=C(C=C1)OCO2)CC(=O)NC3=C(C=CC(=C3)S(=O)(=O)N4CCCCCC4)OC,Active
CC1=CC(=CC(=C1)OCC(CN2CCC3=CC=CC=C3C2)O)C(C)C.Cl,Active
C1CCC(CC1)NC(=O)NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl,Active
C1=CC(=NN=C1N/N=C/C2=C(C(=CC(=C2)Br)Br)O)Cl,Active
CN(C)C1(CCCCC1)CN=CC2=C(C(=CC(=C2)Cl)[N+](=O)[O-])O,Active
