Compiling models...
Starting GA...
[1;32mWrote molecules to file[0m
         11222460 function calls (10852263 primitive calls) in 73.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 dataset_ops.py:3746(DatasetV1)
       12    0.000    0.000    0.022    0.002 backend.py:4990(<lambda>)
        1    0.000    0.000    0.150    0.150 string_GA.py:1(<module>)
        4    0.000    0.000    0.001    0.000 _exceptions.py:1(<module>)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:245(_DefinedFunction)
       24    0.000    0.000    0.000    0.000 numeric.py:1878(isscalar)
        4    0.000    0.000    0.000    0.000 getlimits.py:305(_get_machar)
        1    0.000    0.000    0.000    0.000 row_partition.py:1208(RowPartitionSpec)
       15    0.000    0.000    0.000    0.000 math_ops.py:1387(_OverrideBinaryOperatorHelper)
      131    0.000    0.000    0.001    0.000 tf_inspect.py:310(getdoc)
        2    0.000    0.000    0.000    0.000 optimizer_v2.py:315(__init__)
       12    0.000    0.000    0.000    0.000 while_v2.py:1337(<listcomp>)
        4    0.000    0.000    0.000    0.000 getlimits.py:509(_init)
       46    0.000    0.000    0.000    0.000 base_layer_utils.py:931(is_split_variable)
        2    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
        1    0.000    0.000    0.000    0.000 linear.py:1(<module>)
       62    0.000    0.000    0.000    0.000 object_registration.py:59(__init__)
        1    0.000    0.000    0.001    0.001 process.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gen_summary_ops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 managers.py:1(<module>)
       82    0.000    0.000    0.000    0.000 overrides.py:110(set_module)
        1    0.000    0.000    0.001    0.001 std.py:846(__init__)
       22    0.000    0.000    0.001    0.000 functional.py:1151(_build_map)
       72    0.000    0.000    0.000    0.000 traceable_stack.py:105(peek_top_obj)
        1    0.000    0.000    0.000    0.000 apply.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _datasource.py:130(keys)
        1    0.000    0.000    0.002    0.002 flops_registry.py:1(<module>)
       16    0.000    0.000    0.294    0.018 hdf5_format.py:756(load_subset_weights_from_hdf5_group)
       38    0.000    0.000    0.000    0.000 version_utils.py:72(should_use_v2)
       24    0.000    0.000    0.001    0.000 ops.py:5525(device_v2)
        1    0.000    0.000    0.000    0.000 datetimes.py:153(DatetimeArray)
       90    0.000    0.000    0.000    0.000 re.py:269(escape)
        1    0.000    0.000    0.007    0.007 base_events.py:1(<module>)
       24    0.000    0.000    0.000    0.000 ops.py:920(__array__)
        2    0.000    0.000    0.000    0.000 arrayprint.py:503(decorating_function)
        2    0.000    0.000    0.016    0.008 saving_utils.py:314(_deserialize_metric)
        1    0.000    0.000    0.000    0.000 signature_serialization.py:234(_SignatureMap)
       28    0.000    0.000    0.033    0.001 array_ops.py:375(expand_dims_v2)
        2    0.000    0.000    0.000    0.000 learning_rate_schedule.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gen_ragged_conversion_ops.py:1(<module>)
      148    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       40    0.000    0.000    0.000    0.000 inference.py:325(is_hashable)
       50    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
        2    0.000    0.000    0.002    0.001 server_lib.py:1(<module>)
        9    0.000    0.000    0.001    0.000 deprecation.py:77(_add_deprecated_arg_value_notice_to_docstring)
        1    0.000    0.000    0.001    0.001 melt.py:1(<module>)
       12    0.000    0.000    0.000    0.000 backend.py:7348(_key)
       63    0.000    0.000    0.000    0.000 reaching_definitions.py:68(<dictcomp>)
       12    0.000    0.000    0.015    0.001 tensor_array_ops.py:1157(write)
      130    0.000    0.000    0.000    0.000 tokenize.py:321(read_or_stop)
      176    0.000    0.000    0.000    0.000 dataset_ops.py:5573(_transformation_name)
       11    0.000    0.000    0.000    0.000 generic.py:5904(__setattr__)
      176    0.000    0.000    0.000    0.000 dataset_ops.py:5521(_transformation_name)
       26    0.000    0.000    0.000    0.000 _argument_parser.py:40(__call__)
        1    0.000    0.000    0.000    0.000 base_layer_v1.py:52(Layer)
       13    0.000    0.000    0.000    0.000 cfg.py:341(_add_new_node)
       12    0.000    0.000    0.000    0.000 monomorphic_function.py:159(_forward_name)
        1    0.000    0.000    0.000    0.000 test_combinations.py:1(<module>)
       34    0.000    0.000    0.005    0.000 templates.py:125(_prepare_replacement)
       28    0.000    0.000    0.000    0.000 parse.py:114(_coerce_args)
      187    0.000    0.000    0.000    0.000 string_GA.py:90(<lambda>)
        8    0.000    0.000    0.000    0.000 common.py:235(asarray_tuplesafe)
      176    0.000    0.000    0.000    0.000 callbacks.py:892(on_predict_begin)
       16    0.000    0.000    0.000    0.000 distribution.py:104(_update_docstring)
      234    0.000    0.000    0.000    0.000 np_export.py:20(public_name)
        3    0.000    0.000    0.000    0.000 tf_stack.py:71(__init__)
       88    0.000    0.000    0.000    0.000 fromnumeric.py:2183(_sum_dispatcher)
        1    0.000    0.000    0.004    0.004 structured_tensor.py:1(<module>)
        2    0.000    0.000    0.151    0.075 importer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numeric.py:43(NumericIndex)
      8/6    0.000    0.000    0.026    0.004 utils.py:137(_wrap_function)
        5    0.000    0.000    0.004    0.001 adam.py:1(<module>)
        1    0.000    0.000    0.002    0.002 gen_rnn_ops.py:1(<module>)
       26    0.000    0.000    0.001    0.000 core.py:6825(getdoc)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       40    0.000    0.000    0.000    0.000 generic_utils.py:562(__init__)
        1    0.000    0.000    0.019    0.019 _interpolation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 executor.py:20(Executor)
        1    0.000    0.000    0.001    0.001 xla_ops.py:1(<module>)
       42    0.000    0.000    0.000    0.000 utils.py:108(inject_mesh)
        2    0.000    0.000    0.003    0.002 ElementTree.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gen_audio_ops.py:1(<module>)
        6    0.000    0.000    0.001    0.000 func_graph.py:1559(dismantle_func_graph)
       12    0.000    0.000    0.016    0.001 list_ops.py:157(tensor_list_stack)
        2    0.000    0.000    0.022    0.011 hdf5_format.py:1(<module>)
        2    0.000    0.000    0.029    0.015 training.py:333(_init_batch_counters)
        9    0.000    0.000    0.000    0.000 construction.py:744(_try_cast)
        1    0.000    0.000    0.000    0.000 __init__.py:164(<listcomp>)
        2    0.000    0.000    0.064    0.032 keras_tensor.py:1(<module>)
       19    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        1    0.000    0.000    0.000    0.000 recurrent.py:1(<module>)
       26    0.000    0.000    0.000    0.000 reaching_definitions.py:97(__sub__)
        1    0.000    0.000    0.117    0.117 parsing_config.py:1(<module>)
       96    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       43    0.000    0.000    0.000    0.000 ipaddress.py:1878(__init__)
        1    0.000    0.000    0.000    0.000 training.py:130(Model)
        1    0.000    0.000    0.001    0.001 save_util.py:1(<module>)
      176    0.000    0.000    0.000    0.000 distribute_lib.py:3658(_experimental_distribute_dataset)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(squeeze)
       44    0.000    0.000    0.000    0.000 tf_utils.py:523(assert_no_legacy_layers)
        1    0.000    0.000    0.006    0.006 files.py:1(<module>)
       24    0.000    0.000    0.016    0.001 backend.py:4942(<genexpr>)
        1    0.000    0.000    0.000    0.000 tf_logging.py:1(<module>)
       49    0.000    0.000    0.000    0.000 descriptor.py:771(__new__)
       35    0.000    0.000    0.000    0.000 dataclasses.py:818(_set_qualname)
        1    0.000    0.000    0.005    0.005 cookiejar.py:1(<module>)
        6    0.000    0.000    0.000    0.000 inspect.py:813(getsourcefile)
        2    0.000    0.000    0.021    0.011 training_arrays_v1.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _datasource.py:417(_sanitize_relative_path)
        1    0.000    0.000    0.001    0.001 gen_candidate_sampling_ops.py:1(<module>)
       50    0.000    0.000    0.000    0.000 config.py:742(config_prefix)
        4    0.000    0.000    0.000    0.000 check_ops.py:105(_decorator)
        1    0.000    0.000    0.004    0.004 tpu_strategy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distribute_lib.py:3769(DefaultInputIterator)
       24    0.000    0.000    0.000    0.000 dispatch.py:1200(replace_iterable_params)
        5    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image_preprocessing.py:239(BaseImageAugmentationLayer)
       42    0.000    0.000    0.000    0.000 base_layer_utils.py:565(__init__)
        1    0.000    0.000    0.002    0.002 tpu_embedding_v2_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 image_preprocessing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 wrappers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dense_features_v2.py:1(<module>)
        1    0.000    0.000    0.004    0.004 convert_to_constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      104    0.000    0.000    0.000    0.000 tensor_shape.py:868(__bool__)
      323    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.001    0.001 backprop.py:1(<module>)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
      389    0.000    0.000    0.000    0.000 typing.py:2047(final)
       12    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
        1    0.000    0.000    0.005    0.005 rpc_ops.py:1(<module>)
        2    0.000    0.000    0.012    0.006 tpu_util.py:1(<module>)
        2    0.000    0.000    0.003    0.001 gen_dataset_ops.py:2996(iterator_get_next)
        4    0.000    0.000    0.000    0.000 typing.py:2338(__new__)
        2    0.000    0.000    0.019    0.010 _misc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 func_graph.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gen_uniform_quant_ops.py:1(<module>)
        4    0.000    0.000    0.000    0.000 compat.py:182(path_to_bytes)
        6    0.000    0.000    0.000    0.000 generic.py:5844(__finalize__)
        2    0.000    0.000    0.001    0.001 metrics_utils.py:1(<module>)
       12    0.000    0.000    0.000    0.000 backend.py:7254(convert_inputs_if_ragged)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.010    0.010 conversion.py:1(<module>)
        1    0.000    0.000    0.001    0.001 contexts.py:1(<module>)
        1    0.000    0.000    0.579    0.579 feature_column_lib.py:1(<module>)
        1    0.000    0.000    0.358    0.358 data_service_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tf_op_layer.py:1(<module>)
        2    0.000    0.000    0.003    0.002 gfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:163(DatetimeLikeArrayMixin)
        4    0.000    0.000    0.000    0.000 base.py:7396(_maybe_cast_data_without_dtype)
        5    0.000    0.000    0.000    0.000 serialized_attributes.py:103(with_attributes)
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
       12    0.000    0.000    0.001    0.000 gradients_util.py:850(_AccumulatorShape)
       12    0.000    0.000    0.018    0.001 ops.py:3680(create_op)
       42    0.000    0.000    0.000    0.000 common.py:1591(_is_dtype_type)
       24    0.000    0.000    0.000    0.000 ops.py:161(string_merge)
       12    0.000    0.000    0.029    0.002 backend.py:4953(<listcomp>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1465(__init__)
       14    0.000    0.000    0.002    0.000 math_ops.py:544(subtract)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.001    0.001 sharded_variable.py:1(<module>)
       68    0.000    0.000    0.000    0.000 auto_control_deps_utils.py:101(<genexpr>)
       20    0.000    0.000    0.000    0.000 weakref.py:496(popitem)
       12    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.framework._pywrap_python_api_dispatcher.MakeInstanceChecker}
        2    0.000    0.000    0.000    0.000 base_layer.py:2355(_clear_losses)
        1    0.000    0.000    0.000    0.000 profiler_client.py:1(<module>)
        1    0.000    0.000    0.001    0.001 file_io.py:1(<module>)
        2    0.000    0.000    0.010    0.005 profiler.py:1(<module>)
        1    0.000    0.000    0.002    0.002 interpreter.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feature_column_v2.py:3476(VocabularyFileCategoricalColumn)
        1    0.000    0.000    0.009    0.009 dispatch.py:838(decorator)
       11    0.000    0.000    0.000    0.000 device_spec.py:315(_string_to_components)
       24    0.000    0.000    0.000    0.000 constant_op.py:332(is_constant)
        2    0.000    0.000    0.001    0.001 resources.py:1(<module>)
        1    0.000    0.000    0.043    0.043 tpu_replicated_variable.py:1(<module>)
        2    0.000    0.000    1.819    0.909 distribute_lib.py:1200(run)
        1    0.000    0.000    0.002    0.002 script_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
        4    0.000    0.000    0.001    0.000 flags.py:1(<module>)
        2    0.000    0.000    0.001    0.000 policy.py:1(<module>)
       34    0.000    0.000    0.005    0.000 ast_util.py:59(copy_clean)
        1    0.000    0.000    0.009    0.009 optional_ops.py:1(<module>)
       44    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        1    0.000    0.000    0.005    0.005 adapters.py:1(<module>)
       12    0.000    0.000    0.022    0.002 list_ops.py:103(tensor_list_get_item)
       20    0.000    0.000    0.000    0.000 tensor_shape.py:875(__iter__)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:274(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 numerictypes.py:440(_construct_lookups)
        2    0.000    0.000    1.823    0.911 __autograph_generated_filevg3bqu4o.py:8(tf__predict_function)
        2    0.000    0.000    0.000    0.000 blas.py:376(_memoize_get_funcs)
        9    0.000    0.000    0.001    0.000 deprecation.py:609(deprecated_wrapper)
        1    0.000    0.000    0.001    0.001 example_pb2.py:1(<module>)
       26    0.000    0.000    0.000    0.000 type_annotations.py:27(is_generic_tuple)
        1    0.000    0.000    0.000    0.000 extension.py:1(<module>)
       42    0.000    0.000    0.000    0.000 layer_utils.py:797(split_out_first_arg)
        1    0.000    0.000    0.020    0.020 gradients_impl.py:1(<module>)
       12    0.000    0.000    0.000    0.000 functional_ops.py:1190(<listcomp>)
        1    0.000    0.000    0.000    0.000 quarantine.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:980(__or__)
        1    0.000    0.000    0.001    0.001 legacy_cells.py:1(<module>)
        5    0.000    0.000    0.000    0.000 serialized_attributes.py:109(with_attributes)
      232    0.000    0.000    0.000    0.000 all_util.py:45(<genexpr>)
        2    0.000    0.000    0.003    0.001 worker_training_state.py:1(<module>)
       26    0.000    0.000    0.000    0.000 backend.py:1058(name_scope)
        4    0.000    0.000    0.001    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string_mutate.py:1(<module>)
       12    0.000    0.000    0.016    0.001 tensor_array_ops.py:1234(unstack)
        1    0.000    0.000    0.000    0.000 readers.py:1954(_refine_defaults_read)
        1    0.000    0.000    0.000    0.000 type_checkers.py:1(<module>)
       12    0.000    0.000    0.007    0.001 activations.py:279(relu)
       36    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        2    0.000    0.000    0.001    0.001 serialized_attributes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gen_sdca_ops.py:1(<module>)
       22    0.000    0.000    0.000    0.000 contextlib.py:509(_push_cm_exit)
       45    0.000    0.000    0.000    0.000 ops.py:2988(__init__)
        1    0.000    0.000    0.029    0.029 describe.py:1(<module>)
        1    0.000    0.000    0.007    0.007 arraylike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:235(ndpointer)
       11    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
       22    0.000    0.000    0.005    0.000 qual_names.py:259(resolve)
       12    0.000    0.000    0.007    0.001 smart_cond.py:23(smart_cond)
        1    0.000    0.000    0.000    0.000 op_hint.py:1(<module>)
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gen_stateless_random_ops_v2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decomp_schur.py:1(<module>)
       12    0.000    0.000    0.001    0.000 while_v2.py:302(<listcomp>)
    63/18    0.000    0.000    0.003    0.000 ast_util.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 efficientnet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:1(<module>)
       14    0.000    0.000    0.000    0.000 initializers_v2.py:873(__init__)
       78    0.000    0.000    0.000    0.000 activity.py:322(_exit_scope)
        1    0.000    0.000    0.001    0.001 functional_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 saved_model_pb2.py:1(<module>)
        1    0.000    0.000    0.003    0.003 masked.py:1(<module>)
       12    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
        1    0.000    0.000    0.001    0.001 gen_ctc_ops.py:1(<module>)
        1    0.000    0.000    0.002    0.002 structured_function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grammar_rules.py:159(_build_atom_cache)
        3    0.000    0.000    0.003    0.001 layer_utils.py:1(<module>)
        1    0.000    0.000    0.008    0.008 distributions.py:1(<module>)
      8/6    0.000    0.000    0.001    0.000 text_format.py:839(_MergeField)
      122    0.000    0.000    0.000    0.000 regularizers.py:438(get)
        1    0.000    0.000    0.003    0.003 rnn.py:1(<module>)
        9    0.000    0.000    0.000    0.000 ragged_math_ops.py:760(_set_ragged_reduce_docstring)
       50    0.000    0.000    0.000    0.000 traceable_stack.py:101(pop_obj)
        1    0.000    0.000    0.001    0.001 distribution.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tflite_keras_util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gen_stateful_random_ops.py:1(<module>)
        1    0.000    0.000    0.004    0.004 monitoring.py:1(<module>)
        7    0.000    0.000    0.000    0.000 dataclasses.py:370(_fields_in_init_order)
       44    0.000    0.000    0.000    0.000 base_layer.py:1053(<genexpr>)
       12    0.000    0.000    0.000    0.000 control_flow_util_v2.py:41(in_defun)
        1    0.000    0.000    0.001    0.001 gen_random_ops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:112(ExtensionArray)
        7    0.000    0.000    0.024    0.003 six.py:96(__get__)
       91    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       20    0.000    0.000    0.000    0.000 node.py:168(map_arguments)
        2    0.000    0.000    0.177    0.088 pywrap_tensorflow.py:1(<module>)
        2    0.000    0.000    0.002    0.001 _strptime.py:173(__init__)
        2    0.000    0.000    0.000    0.000 sequential.py:1(<module>)
        1    0.000    0.000    0.000    0.000 gen_check_preemption_op.py:1(<module>)
       62    0.000    0.000    0.000    0.000 lazy.py:96(lazy)
       23    0.000    0.000    0.001    0.000 overrides.py:220(decorator)
      152    0.000    0.000    0.000    0.000 ast.py:719(write)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.006    0.006 cd.py:1(<module>)
        2    0.000    0.000    0.253    0.126 hdf5_format.py:693(load_optimizer_weights_from_hdf5_group)
       62    0.000    0.000    0.000    0.000 {h5py._objects.with_phil}
      148    0.000    0.000    0.000    0.000 base.py:165(_lapl)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
        5    0.000    0.000    0.000    0.000 ftrl.py:1(<module>)
        2    0.000    0.000    0.027    0.014 base_preprocessing_layer.py:1(<module>)
       72    0.000    0.000    0.000    0.000 gradients_util.py:492(<genexpr>)
        4    0.000    0.000    0.000    0.000 data_structures.py:898(_update_snapshot)
        2    0.000    0.000    0.094    0.047 optimizer_v2.py:952(_create_all_weights)
       28    0.000    0.000    0.000    0.000 backend.py:1168(observe_object_name)
        1    0.000    0.000    0.002    0.002 ragged_where_op.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(<dictcomp>)
       42    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
       22    0.000    0.000    0.006    0.000 genericpath.py:16(exists)
       22    0.000    0.000    0.000    0.000 base_layer.py:3649(_convert_numpy_or_python_types)
        2    0.000    0.000    0.001    0.000 backend_config.py:1(<module>)
      189    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        1    0.000    0.000    0.001    0.001 pivot.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        2    0.000    0.000    0.083    0.042 tpu_cluster_resolver.py:1(<module>)
       80    0.000    0.000    0.000    0.000 base_layer.py:2839(<genexpr>)
       61    0.000    0.000    0.001    0.000 activity.py:412(visit_Name)
        1    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
        1    0.000    0.000    0.001    0.001 all_renames_v2.py:1(<module>)
        2    0.000    0.000    0.003    0.001 file_io.py:249(file_exists_v2)
        1    0.000    0.000    0.001    0.001 tarfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_futures.py:1(<module>)
        1    0.000    0.000    0.002    0.002 candidate_sampling_ops.py:1(<module>)
        1    0.000    0.000    0.052    0.052 sparse_tensor.py:1(<module>)
       11    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
       27    0.000    0.000    0.001    0.000 extension_type_field.py:86(__new__)
        6    0.000    0.000    0.000    0.000 nanops.py:111(__call__)
       13    0.000    0.000    0.000    0.000 expr.py:188(_filter_nodes)
        1    0.000    0.000    0.000    0.000 range.py:66(RangeIndex)
        3    0.000    0.000    0.000    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
      138    0.000    0.000    0.000    0.000 policy.py:274(compute_dtype)
        1    0.000    0.000    0.000    0.000 group.py:29(Group)
       24    0.000    0.000    0.046    0.002 array_grad.py:821(_SqueezeGrad)
       13    0.000    0.000    0.001    0.000 activity.py:431(visit_Attribute)
       10    0.000    0.000    0.000    0.000 config.py:116(_get_single_key)
      228    0.000    0.000    0.000    0.000 typing.py:1737(cast)
        1    0.000    0.000    0.031    0.031 v1.py:1(<module>)
        4    0.000    0.000    0.000    0.000 random.py:128(seed)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.infer_datetimelike_array}
        2    0.000    0.000    0.000    0.000 tensor_shape.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tensor_tracer_flags.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cluster_resolver.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _flagvalues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 efficientnet_v2.py:1(<module>)
        7    0.000    0.000    0.000    0.000 module_util.py:21(get_parent_dir)
        6    0.000    0.000    0.001    0.000 tf_inspect.py:339(getmembers)
        1    0.000    0.000    0.000    0.000 masked.py:92(BaseMaskedArray)
      130    0.000    0.000    0.000    0.000 serialization.py:130(<lambda>)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        2    0.000    0.000    0.001    0.000 training_distributed_v1.py:1(<module>)
       24    0.000    0.000    0.000    0.000 tensor_array_ops.py:1100(flow)
       24    0.000    0.000    0.017    0.001 backend.py:5151(<genexpr>)
       26    0.000    0.000    0.000    0.000 posixpath.py:60(isabs)
        1    0.000    0.000    0.000    0.000 distribution_strategy_context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 serialization_pb2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraylike.py:33(OpsMixin)
      168    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       38    0.000    0.000    0.000    0.000 base_layer.py:481(build)
       22    0.000    0.000    0.001    0.000 convert_phase.py:200(actual_decorator)
        1    0.000    0.000    0.002    0.002 googletest.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cfg.py:1(<module>)
       36    0.000    0.000    0.000    0.000 control_flow_util.py:23(InXlaContext)
        1    0.000    0.000    0.000    0.000 fractions.py:38(Fraction)
        7    0.000    0.000    0.000    0.000 revived_types.py:106(register_revived_type)
        1    0.000    0.000    0.002    0.002 GraphDescriptors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        7    0.000    0.000    0.001    0.000 typing.py:2247(_make_nmtuple)
       22    0.000    0.000    0.001    0.000 utils.py:341(disp_trim)
        1    0.000    0.000    0.001    0.001 minidom.py:1(<module>)
        1    0.000    0.000    0.000    0.000 putmask.py:1(<module>)
       18    0.000    0.000    0.000    0.000 base.py:423(register_extension_dtype)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
       66    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.033    0.017 sequential.py:106(__init__)
        1    0.000    0.000    0.044    0.044 py3k.py:1(<module>)
      165    0.000    0.000    0.000    0.000 typing_extensions.py:140(<listcomp>)
        1    0.000    0.000    0.000    0.000 missing.py:564(_array_equivalent_object)
        1    0.000    0.000    0.013    0.013 image_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:700(Popen)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.003    0.003 mol_graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 layout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multinomial.py:51(Multinomial)
        2    0.000    0.000    0.001    0.001 training.py:2694(trainable_weights)
       24    0.000    0.000    0.000    0.000 tensor_array_ops.py:1336(_check_dtypes)
       60    0.000    0.000    0.000    0.000 math_ops.py:4050(<genexpr>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       74    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
       12    0.000    0.000    0.458    0.038 lstm.py:1244(gpu_lstm_with_fallback)
       84    0.000    0.000    0.000    0.000 gradients_util.py:491(<genexpr>)
        1    0.000    0.000    0.001    0.001 gen_audio_microfrontend_op.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ps_values.py:1(<module>)
        1    0.000    0.000    0.000    0.000 period.py:115(PeriodArray)
       22    0.000    0.000    0.000    0.000 utils.py:57(__init__)
        2    0.000    0.000    0.000    0.000 training_generator_v1.py:1(<module>)
       46    0.000    0.000    0.000    0.000 dtypes.py:62(__init__)
        1    0.000    0.000    0.000    0.000 v2_compat.py:38(enable_v2_behavior)
       18    0.000    0.000    0.002    0.000 variables.py:51(visit_Name)
       24    0.000    0.000    0.000    0.000 device.py:61(merge_device)
        1    0.000    0.000    0.001    0.001 asserters.py:1(<module>)
        1    0.000    0.000    0.059    0.059 overrides.py:1(<module>)
       36    0.000    0.000    0.000    0.000 list_ops.py:61(_set_handle_data)
       11    0.000    0.000    0.000    0.000 device_spec.py:145(from_string)
       75    0.000    0.000    0.000    0.000 config.py:772(wrap)
        1    0.000    0.000    0.001    0.001 _compressed.py:1(<module>)
       29    0.000    0.000    0.000    0.000 generic_utils.py:1173(__init__)
       35    0.000    0.000    0.000    0.000 np_utils.py:129(<listcomp>)
        1    0.000    0.000    0.003    0.003 tensor_tracer.py:1(<module>)
        1    0.000    0.000    0.002    0.002 functions.py:77(visit_FunctionDef)
        2    0.000    0.000    0.001    0.000 options.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _argument_parser.py:1(<module>)
       22    0.000    0.000    0.000    0.000 base_layer.py:2046(input)
        8    0.000    0.000    0.000    0.000 inspect.py:773(getfile)
