Compiling models...
Starting GA...
[1;32mWrote molecules to file[0m
         11222460 function calls (10852263 primitive calls) in 73.218 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6750/4712    0.049    0.000    5.805    0.001 dispatch.py:1162(op_dispatch_handler)
  590/548    0.049    0.000    8.918    0.016 func_graph.py:1102(func_graph_from_py_func)
   123931    0.048    0.000    0.225    0.000 abc.py:117(__instancecheck__)
      650    0.047    0.000    0.055    0.000 file_io.py:123(seek)
     9336    0.046    0.000    0.046    0.000 c_api_util.py:232(tf_output)
     4618    0.046    0.000    0.180    0.000 ops.py:3405(graph_def_versions)
    14396    0.046    0.000    0.139    0.000 ops.py:4416(name_scope)
     8434    0.045    0.000    0.462    0.000 auto_control_deps_utils.py:85(get_read_write_resource_inputs)
     4306    0.045    0.000    0.395    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    20532    0.044    0.000    0.044    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewBuffer}
    10409    0.044    0.000    0.088    0.000 tf_decorator.py:61(make_decorator)
     3162    0.044    0.000    0.044    0.000 {method 'read' of '_io.BufferedReader' objects}
    17319    0.044    0.000    0.044    0.000 {method 'match' of 're.Pattern' objects}
    28420    0.044    0.000    0.093    0.000 op_def_library.py:54(<genexpr>)
      614    0.043    0.000    0.127    0.000 ops.py:3100(__init__)
     4618    0.042    0.000    0.046    0.000 op_def_library.py:366(_CanExtractAttrsFastPath)
       88    0.042    0.000    0.042    0.000 Crippen.py:170(<lambda>)
     9126    0.042    0.000    0.100    0.000 op_def_library.py:815(value_to_attr_value)
     8904    0.042    0.000    0.054    0.000 ops.py:3370(_add_op)
        1    0.041    0.041   73.238   73.238 inverse_qsar_cli.py:1(<module>)
    42928    0.040    0.000    0.040    0.000 dtypes.py:63(_is_ref_dtype)
7996/3270    0.040    0.000    0.312    0.000 trace_type_builder.py:97(from_value)
      602    0.040    0.000    0.040    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
7562/7305    0.040    0.000    0.310    0.000 inspect.py:2371(_signature_from_callable)
     3844    0.039    0.000    0.039    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GraphGetOpDef}
    34314    0.039    0.000    0.108    0.000 context.py:2149(executing_eagerly)
    16026    0.039    0.000    0.082    0.000 dtypes.py:172(is_compatible_with)
     9384    0.039    0.000    0.143    0.000 ops.py:405(__init__)
28341/24900    0.038    0.000    0.161    0.000 {built-in method builtins.any}
     7945    0.036    0.000    0.064    0.000 functools.py:35(update_wrapper)
      614    0.036    0.000    0.036    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_NewGraph}
    42152    0.035    0.000    0.081    0.000 object_identity.py:202(update)
     9880    0.035    0.000    0.055    0.000 ops.py:4538(unique_name)
    41064    0.035    0.000    0.094    0.000 c_api_util.py:199(tf_buffer)
     4618    0.034    0.000    0.051    0.000 op_def_library.py:392(_ExtractDefaultTypesAndAllowedTypes)
    47088    0.034    0.000    0.035    0.000 ops.py:5843(get_default)
     7297    0.033    0.000    0.237    0.000 typing.py:1490(__instancecheck__)
     4053    0.033    0.000    0.033    0.000 {built-in method numpy.array}
     7814    0.033    0.000    0.033    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_AddInput}
   198538    0.032    0.000    0.032    0.000 {method 'get' of 'dict' objects}
  205/162    0.032    0.000    0.100    0.001 {built-in method _imp.exec_dynamic}
      602    0.032    0.000    0.302    0.001 monomorphic_function.py:210(__init__)
    13572    0.032    0.000    0.036    0.000 traceable_stack.py:109(peek_objs)
        3    0.031    0.010    0.032    0.011 {built-in method numpy.core._multiarray_umath._load_from_filelike}
13198/13186    0.031    0.000    0.076    0.000 tensor_shape.py:764(__init__)
     4618    0.031    0.000    0.261    0.000 op_def_library.py:723(_GetOpDef)
     8856    0.031    0.000    0.052    0.000 lock_util.py:105(_another_group_active)
    13584    0.031    0.000    0.037    0.000 context.py:932(_mode)
    43176    0.031    0.000    0.031    0.000 {method 'HasField' of 'google.protobuf.pyext._message.CMessage' objects}
     8856    0.031    0.000    0.076    0.000 lock_util.py:95(release)
176356/171779    0.030    0.000    0.032    0.000 {built-in method builtins.len}
       20    0.030    0.001    0.078    0.004 string_GA.py:77(sanitize)
     1496    0.030    0.000    0.751    0.001 graph_only_ops.py:25(graph_placeholder)
